iter	Passed	Remaining
0	3	469
1	6	458
2	9	482
3	13	498
4	16	505
5	20	503
6	23	495
7	26	490
8	29	474
9	33	475
10	36	470
11	38	458
12	41	449
13	44	441
14	46	432
15	50	434
16	53	432
17	56	425
18	59	419
19	61	413
20	65	414
21	68	408
22	70	402
23	73	396
24	76	392
25	79	389
26	82	386
27	84	380
28	87	376
29	89	370
30	92	365
31	95	364
32	98	362
33	101	357
34	103	353
35	106	348
36	109	346
37	112	344
38	115	339
39	118	336
40	120	332
41	123	329
42	127	328
43	130	325
44	132	321
45	135	317
46	137	313
47	141	312
48	144	309
49	147	306
50	150	302
51	152	299
52	155	296
53	158	294
54	161	291
55	164	287
56	166	283
57	169	280
58	172	277
59	175	275
60	178	271
61	180	268
62	183	265
63	186	262
64	190	260
65	192	257
66	195	254
67	198	250
68	201	248
69	205	246
70	208	244
71	212	241
72	215	238
73	218	236
74	222	234
75	226	232
76	229	229
77	231	226
78	235	223
79	238	220
80	240	217
81	244	214
82	247	211
83	250	208
84	253	206
85	257	203
86	260	200
87	263	197
88	267	195
89	270	192
90	273	189
91	276	186
92	279	183
93	283	180
94	286	177
95	289	175
96	292	171
97	295	169
98	299	166
99	303	163
100	306	160
101	309	158
102	314	155
103	318	153
104	322	150
105	326	147
106	331	145
107	335	142
108	338	139
109	342	137
110	347	134
111	350	131
112	353	128
113	357	125
114	362	122
115	365	119
116	369	116
117	372	113
118	377	110
119	380	107
120	384	104
121	387	101
122	392	98
123	395	95
124	398	92
125	402	89
126	405	86
127	409	83
128	413	80
129	416	76
130	420	73
131	424	70
132	427	67
133	431	64
134	435	61
135	439	58
136	443	55
137	447	51
138	450	48
139	454	45
140	458	42
141	461	39
142	464	35
143	467	32
144	477	29
145	479	26
146	482	22
147	486	19
148	488	16
149	491	13
150	494	9
151	497	6
152	501	3
153	504	0
